Timestep,Shank_x,Shank_y,Shank_z,Thigh_x,Thigh_y,Thigh_z,Trunk_x,Trunk_y,Trunk_z,FoG
0,121,108,1029,81,191,962,67,-29,1019,0
1,121,108,1029,72,181,962,38,-19,1009,0
2,131,118,1029,63,171,981,87,-38,1009,0
3,131,118,1019,54,191,990,77,-19,1019,0
4,131,118,1029,54,171,981,67,-19,1028,0
5,121,108,1029,45,191,962,58,-19,1009,0
6,121,118,1029,27,202,972,77,-29,1009,0
7,121,118,1029,36,161,972,77,-9,1009,0
8,121,128,1029,81,181,972,67,-48,1009,0
9,131,128,1029,81,181,972,67,-19,1009,0
10,131,108,1029,72,181,962,58,-29,1019,0
11,121,99,1019,72,171,981,77,-48,1028,0
12,131,108,1019,63,181,972,67,-29,1019,0
13,141,118,1029,63,181,972,67,-38,1019,0
14,141,118,1029,54,191,972,67,-38,1019,0
15,131,108,1029,81,161,972,67,-58,1019,0
16,141,108,1039,81,171,962,67,-58,1019,0
17,151,118,1019,63,181,972,67,-29,1028,0
18,141,118,1029,72,171,972,77,-48,1028,0
19,131,138,1019,54,171,972,87,-77,1019,0
20,131,108,1019,45,171,972,77,-38,1009,0
21,141,118,1019,45,191,981,67,-58,1019,0
22,141,118,1029,63,171,981,67,-58,1009,0
23,141,128,1029,72,161,972,77,-38,1019,0
24,141,108,1019,54,161,972,67,-58,1028,0
25,141,99,1029,63,151,972,77,-48,1019,0
26,131,99,1029,63,181,962,67,-77,1038,0
27,121,118,1039,45,171,972,77,-58,1009,0
28,131,89,1039,63,171,972,48,-38,1009,0
29,151,108,1029,54,161,981,58,-48,1019,0
30,141,108,1029,72,171,953,58,-48,1019,0
31,141,99,1029,54,181,981,67,-38,1009,0
32,121,108,1029,45,161,972,58,-19,1019,0
33,141,79,1039,54,151,972,58,-38,1000,0
34,141,108,1009,45,161,981,58,-38,1000,0
35,131,99,1019,54,181,981,58,-38,990,0
36,141,108,1019,63,171,972,67,-48,1019,0
37,131,108,1029,63,181,972,67,-38,1000,0
38,141,99,1019,63,161,981,58,-38,1028,0
39,151,79,1039,63,151,990,48,-38,1009,0
40,151,99,1019,54,161,962,77,-58,1009,0
41,141,99,1019,27,161,972,77,-48,1019,0
42,131,118,1029,54,131,981,67,-77,1019,0
43,121,89,1029,72,151,953,67,-48,990,0
44,161,89,1009,63,141,981,67,-48,1009,0
45,141,89,1029,45,151,981,67,-38,1028,0
46,141,89,1039,63,161,972,67,-48,1009,0
47,141,89,1029,54,161,981,58,-67,1019,0
48,131,89,1029,54,161,981,77,-67,1019,0
49,151,118,1029,54,141,981,67,-58,1000,0
50,151,108,1029,81,161,962,58,-48,1019,0
51,151,108,1019,54,161,981,67,-58,1019,0
52,141,79,1029,54,151,972,77,-58,1000,0
53,141,99,1029,54,151,981,67,-48,1009,0
54,141,99,1019,45,151,972,58,-67,1028,0
55,131,99,1029,45,171,981,77,-67,1028,0
56,151,99,1039,45,141,981,58,-58,1019,0
57,141,89,1009,54,161,981,58,-58,1009,0
58,141,89,1029,45,151,972,67,-87,1009,0
59,141,89,1019,45,141,981,48,-48,1009,0
60,131,99,1039,45,171,972,48,-67,1009,0
61,141,99,1039,45,171,972,48,-58,1009,0
62,151,89,1019,45,161,981,58,-48,1019,0
63,141,99,1019,27,161,981,48,-58,1028,0
64,131,89,1019,54,151,981,67,-67,1009,0
65,141,79,1019,72,151,972,58,-58,1019,0
66,161,69,1039,72,151,981,67,-38,1009,0
67,161,89,1029,81,131,981,58,-58,1000,0
68,151,108,1029,54,141,981,58,-77,1009,0
69,141,99,1029,63,161,972,67,-48,1009,0
70,131,79,1009,54,151,972,77,-58,1000,0
71,151,79,1019,54,151,972,48,-48,1019,0
72,131,99,1029,45,161,981,67,-58,1019,0
73,141,59,1029,54,131,981,67,-38,1000,0
74,141,89,1029,63,151,962,58,-58,1000,0
75,141,69,1029,45,161,972,58,-77,1009,0
76,161,89,1009,45,161,972,67,-67,1009,0
77,141,79,1019,54,151,981,48,-38,1019,0
78,141,79,1029,36,151,990,67,-77,1009,0
79,131,69,1009,54,171,972,67,-77,1019,0
80,121,79,1039,54,171,972,58,-48,1028,0
81,141,89,1029,45,131,981,58,-67,1019,0
82,141,69,1029,45,141,972,48,-77,1000,0
83,151,69,1019,63,141,990,48,-67,1019,0
84,141,89,1009,63,141,981,38,-48,1009,0
85,141,89,1009,63,141,981,48,-77,1009,0
86,131,89,1029,45,161,972,58,-77,1019,0
87,151,59,1029,54,141,981,67,-58,1009,0
88,141,89,1019,54,131,972,67,-48,1019,0
89,151,49,1039,36,141,981,58,-48,1019,0
90,141,89,1039,45,151,981,48,-67,1009,0
91,161,69,1019,45,141,981,58,-67,1000,0
92,131,69,1019,54,131,972,48,-58,1028,0
93,121,79,1019,45,161,981,48,-58,1028,0
94,111,79,1029,36,131,981,67,-48,1000,0
95,151,59,1029,54,141,962,38,-67,1009,0
96,151,89,1029,36,161,972,58,-48,1019,0
97,151,59,1029,63,121,981,58,-48,1019,0
98,141,69,1029,63,151,981,58,-38,1000,0
99,131,59,1019,45,131,990,77,-58,1000,0
100,161,79,1009,45,151,981,58,-58,1028,0
101,131,89,1019,45,131,981,48,-38,1009,0
102,131,59,1039,45,121,972,58,-38,1000,0
103,141,79,1019,45,141,981,48,-48,1009,0
104,141,89,1029,45,131,990,58,-38,1009,0
105,161,79,1019,63,161,972,58,-48,980,0
106,151,39,1029,54,151,972,38,-77,1009,0
107,151,69,1019,63,141,972,38,-29,1009,0
108,141,89,1029,45,151,990,38,-58,1038,0
109,131,79,1039,54,131,1000,38,-67,1028,0
110,151,79,1019,45,131,972,58,-29,1009,0
111,141,89,1019,72,131,990,38,-48,1009,0
112,151,69,1039,72,151,972,48,-58,1019,0
113,151,79,1009,45,151,972,58,-48,1000,0
114,151,89,1019,45,141,990,48,-38,1019,0
115,151,69,1009,45,131,972,38,-38,1019,0
116,141,69,1029,36,131,972,48,-19,1000,0
117,141,69,1039,36,161,981,38,-48,1019,0
118,151,69,1009,45,131,990,58,-38,1019,0
119,161,79,1000,54,151,972,58,-77,1028,0
120,151,79,1029,54,161,981,38,-67,1009,0
121,151,69,1029,63,121,972,48,-77,1028,0
122,151,69,1029,63,141,972,48,-58,1000,0
123,151,69,1029,45,141,990,48,-58,1019,0
124,151,59,1019,36,141,981,58,-29,1019,0
125,141,89,1029,45,151,981,58,-48,1019,0
126,151,69,1029,27,141,972,38,-48,1019,0
127,141,69,1049,63,141,972,48,-58,1000,0
128,141,69,1019,54,131,981,67,-29,1009,0
129,151,39,1039,72,161,981,48,-58,1000,0
130,141,69,1029,45,141,972,29,-58,1019,0
131,141,69,1039,36,141,981,48,-48,1019,0
132,151,79,1029,36,141,981,38,-77,1019,0
133,141,69,1039,36,151,962,38,-38,1038,0
134,131,89,1019,54,131,962,48,-58,1019,0
135,131,69,1029,63,111,990,48,-48,1028,0
136,151,49,1029,81,151,981,38,-38,1019,0
137,141,69,1009,81,151,981,29,-38,1009,0
138,131,79,1029,63,121,990,38,-58,1038,0
139,151,99,1029,45,161,981,58,-48,1019,0
140,151,49,1029,45,151,981,58,-58,1009,0
141,161,59,1029,54,151,962,58,-67,1019,0
142,161,69,1009,36,151,981,67,-58,1009,0
143,151,59,1019,72,141,972,48,-29,1009,0
144,151,49,1019,72,141,972,38,-48,1019,0
145,151,69,1029,45,151,981,29,-67,1000,0
146,151,69,1029,54,131,972,67,-67,971,0
147,141,89,1009,63,111,972,48,-58,990,0
148,131,69,1029,45,131,962,58,-48,1000,0
149,141,79,1019,45,141,981,58,-29,1009,0
150,131,59,1039,54,121,981,38,-58,1019,0
151,151,59,1019,54,141,962,48,-67,1009,0
152,151,69,1019,54,121,981,58,-48,1009,0
153,161,69,1039,72,121,990,48,-67,1038,0
154,151,79,1039,72,101,990,58,-67,1009,0
155,151,69,1009,63,151,962,58,-67,1009,0
156,151,59,1029,63,131,972,48,-58,1028,0
157,141,59,1019,54,111,981,29,-67,1019,0
158,151,69,1019,54,151,972,29,-67,1019,0
159,151,49,1029,54,151,972,48,-67,1009,0
160,141,69,1029,54,141,972,48,-67,1028,0
161,141,69,1029,45,121,981,48,-67,1028,0
162,161,49,1019,63,141,972,38,-38,1000,0
163,131,59,1039,54,131,972,67,-38,990,0
164,161,49,1039,36,131,981,58,-58,1019,0
165,151,59,1019,54,121,1000,58,-67,1019,0
166,131,79,1029,54,141,972,58,-48,1000,0
167,151,59,1029,45,131,972,48,-48,1009,0
168,141,79,1029,45,141,981,58,-38,1028,0
169,151,49,1039,63,141,972,48,-48,1019,0
170,161,39,1039,45,121,981,48,-48,1009,0
171,141,69,1019,54,131,981,48,-58,1009,0
172,141,69,1029,54,131,981,38,-58,1028,0
173,131,79,1019,54,111,981,58,-48,1009,0
174,131,69,1029,54,141,990,58,-48,1009,0
175,151,69,1029,54,121,972,48,-58,1028,0
176,161,59,1009,45,131,972,58,-58,1009,0
177,151,59,1039,54,121,981,38,-38,1000,0
178,151,49,1019,72,141,962,38,-38,1009,0
179,151,59,1039,63,121,972,48,-38,1019,0
180,161,69,1009,63,131,972,38,-77,1009,0
181,141,59,1029,45,161,972,48,-48,1019,0
182,151,69,1029,54,131,981,38,-29,1009,0
183,151,49,1029,54,151,962,48,-58,1009,0
184,151,59,1019,54,131,981,48,-67,1009,0
185,151,39,1039,63,151,972,58,-48,1009,0
186,141,79,1039,54,121,972,38,-19,1009,0
187,141,49,1029,54,141,981,48,-48,1000,0
188,151,59,1019,45,141,981,58,-48,1009,0
189,141,79,1029,63,121,990,48,-58,1009,0
190,131,69,1019,63,121,990,38,-67,1009,0
191,141,79,1029,63,151,972,58,-48,1000,0
192,151,59,1029,54,131,972,48,-58,1019,0
193,151,59,1019,72,161,962,58,-48,1009,0
194,121,59,1029,54,131,990,29,-19,1019,0
195,161,59,1039,54,151,972,38,-48,1019,0
196,141,69,1029,45,141,981,38,-67,1009,0
197,151,59,1029,63,161,981,58,-48,1009,0
198,151,79,1019,63,131,972,58,-58,1028,0
199,161,49,1000,63,151,972,58,-48,1009,0
200,151,69,1009,81,151,981,67,-38,1000,0
201,131,59,1019,72,121,981,58,-38,1028,0
202,151,79,1029,54,131,981,48,-58,1009,0
203,151,69,1019,45,151,981,48,-58,1028,0
204,161,89,1009,54,141,990,48,-67,1019,0
205,151,69,1029,54,151,972,48,-48,1028,0
206,151,69,1029,54,151,972,38,-48,1019,0
207,151,69,1039,63,151,981,48,-67,1028,0
208,151,69,1039,63,141,981,38,-58,1009,0
209,151,79,1019,45,131,972,67,-38,1009,0
210,141,69,1039,54,141,981,48,-38,1019,0
211,141,59,1029,45,141,990,48,-29,1009,0
212,151,79,1019,63,121,990,58,-38,1028,0
213,151,69,1039,63,141,981,38,-29,1019,0
214,151,89,1019,54,161,990,48,-48,1000,0
215,141,89,1029,45,131,981,48,-48,1028,0
216,151,69,1039,54,151,972,48,-38,1019,0
217,141,79,1019,45,161,981,48,-58,1009,0
218,151,79,1029,63,141,981,48,-29,1019,0
219,151,79,1029,72,151,981,38,-67,1028,0
220,131,79,1029,72,151,962,58,-38,1009,0
221,141,79,1039,45,151,981,67,-38,1009,0
222,161,69,1009,54,151,981,58,-48,1009,0
223,141,69,1039,54,161,962,58,-67,1028,0
224,161,79,1029,27,141,972,48,-58,1009,0
225,141,79,1019,54,131,972,58,-19,1019,0
226,151,69,1019,63,151,972,48,-48,1009,0
227,151,79,1009,63,151,981,67,-38,980,0
228,141,89,1019,54,151,972,58,-58,1019,0
229,151,89,1029,54,131,990,48,-38,1019,0
230,141,89,1019,54,151,972,67,-38,1028,0
231,141,99,1029,45,151,981,58,-19,1028,0
232,141,89,1009,81,161,972,58,-67,990,0
233,141,89,1029,63,161,981,58,-38,1000,0
234,141,79,1029,54,161,972,58,-58,1009,0
235,141,79,1009,54,161,972,58,-67,1009,0
236,141,89,1029,54,161,990,48,-29,1028,0
237,151,79,1009,63,151,981,67,-67,1019,0
238,131,79,1029,54,141,953,58,-29,1000,0
239,141,79,1039,36,141,981,58,-29,1019,0
240,151,89,1009,54,161,962,48,-48,1009,0
241,141,89,1029,63,151,972,58,-67,1019,0
242,151,79,1019,54,141,972,38,-38,1009,0
243,141,89,1009,54,161,972,58,-67,1019,0
244,151,89,1039,54,141,981,67,-58,1038,0
245,151,79,1029,54,161,972,48,-38,1019,0
246,131,89,1019,54,181,990,48,-58,1028,0
247,151,69,1039,63,161,990,67,-77,1028,0
248,141,79,1029,54,151,972,48,-38,1019,0
249,141,79,1029,45,141,972,58,-48,1009,0
250,151,89,1019,36,151,990,58,-48,1000,0
251,141,89,1029,54,131,981,58,-58,1019,0
252,151,69,1029,54,151,962,48,-48,1009,0
253,151,89,1019,45,151,990,58,-38,1000,0
254,121,79,1029,63,171,972,58,-38,1000,0
255,151,108,1019,63,161,981,48,-58,1019,0
256,141,89,1019,45,171,962,48,-58,1019,0
257,131,89,1039,45,181,972,58,-38,1009,0
258,141,79,1019,27,141,981,58,-38,1009,0
259,141,99,1029,54,171,962,67,-58,1009,0
260,151,99,1000,72,161,972,58,-19,1019,0
261,141,79,1029,63,161,981,58,-19,1019,0
262,151,79,1019,54,151,990,58,-48,1028,0
263,151,79,1019,54,141,953,58,-48,1019,0
264,161,99,1009,36,141,981,48,-48,1009,0
265,151,89,1019,54,131,972,67,-48,1000,0
266,131,108,1029,72,171,972,48,-48,1009,0
267,151,69,1039,54,151,972,58,-58,990,0
268,151,89,1019,63,151,953,58,-38,1009,0
