Timestep,Shank_x,Shank_y,Shank_z,Thigh_x,Thigh_y,Thigh_z,Trunk_x,Trunk_y,Trunk_z,FoG
0,-111,237,1000,-18,90,990,-155,29,1019,0
1,-121,237,1000,0,60,990,-155,38,1009,0
2,-111,237,1009,-9,80,981,-155,48,1019,0
3,-121,237,1000,-9,80,981,-155,48,1009,0
4,-111,227,1009,-9,80,990,-135,19,1019,0
5,-90,217,1009,-18,70,1000,-145,29,1009,0
6,-111,257,1000,-9,60,981,-145,38,1009,0
7,-111,227,1019,-18,60,981,-145,58,1009,0
8,-111,247,1009,-9,60,981,-145,38,1019,0
9,-111,237,1019,9,70,981,-145,29,1009,0
10,-101,237,1000,0,70,990,-145,29,1000,0
11,-121,237,1019,-18,70,990,-155,29,1019,0
12,-111,227,1009,0,60,990,-135,29,1009,0
13,-111,237,1009,-9,70,981,-126,48,1000,0
14,-101,237,1019,0,80,990,-145,48,1000,0
15,-101,237,1019,0,80,990,-135,19,1009,0
16,-90,247,1000,0,70,990,-135,38,1000,0
17,-101,237,1019,-9,70,990,-116,48,990,0
18,-111,247,1000,-9,70,990,-145,19,1019,0
19,-101,237,1019,-9,60,990,-145,19,1009,0
20,-101,247,1029,0,80,1000,-145,19,1009,0
21,-101,267,1009,0,50,981,-165,48,1019,0
22,-101,267,1009,0,90,981,-126,38,1000,0
23,-111,237,1029,0,50,990,-126,38,1000,0
24,-90,237,1000,-9,80,990,-135,38,1009,0
25,-101,237,1009,-9,70,981,-145,29,1009,0
26,-80,227,1009,18,80,972,-145,29,980,0
27,-101,247,1019,18,70,1000,-135,38,1009,0
28,-111,247,1019,-9,80,990,-145,29,1009,0
29,-101,237,1009,0,70,990,-145,48,1009,0
30,-101,247,1009,9,70,981,-145,48,1000,0
31,-101,227,1019,-9,80,981,-135,58,1019,0
32,-90,227,1009,-9,50,1000,-145,38,1000,0
33,-70,237,1009,9,70,981,-155,48,1009,0
34,-90,227,1009,9,60,981,-145,48,1000,0
35,-70,227,1009,9,60,990,-155,29,1000,0
36,-90,237,1009,0,60,981,-145,38,1000,0
37,-101,237,1009,-9,70,990,-145,29,1019,0
38,-90,237,1009,0,80,981,-135,29,1009,0
39,-101,227,1009,-9,60,990,-145,38,1009,0
40,-90,247,1019,0,60,981,-145,19,1009,0
41,-80,217,1029,0,80,990,-145,38,990,0
42,-80,227,1009,0,50,990,-135,48,980,0
43,-90,227,1019,9,60,981,-145,19,1019,0
44,-111,227,1019,9,80,990,-145,38,1019,0
45,-101,237,1009,9,60,990,-155,38,1019,0
46,-111,237,1019,0,90,990,-145,48,990,0
47,-121,247,1019,-9,90,981,-145,48,990,0
48,-90,247,1019,0,60,1000,-155,58,1000,0
49,-111,237,1009,0,60,1000,-174,48,1000,0
50,-101,237,1009,9,60,1000,-174,48,1009,0
51,-101,257,1009,0,60,990,-155,29,1009,0
52,-80,207,1039,-9,80,1000,-155,48,1009,0
53,-101,237,1009,0,70,981,-155,48,1009,0
54,-101,227,1019,0,60,990,-135,48,990,0
55,-90,237,1000,0,90,981,-155,58,990,0
56,-90,247,1019,9,80,1000,-155,38,1009,0
57,-90,267,1009,18,60,990,-155,38,1000,0
58,-111,247,1009,18,60,1000,-155,38,1019,0
59,-101,247,1009,0,80,990,-135,19,1000,0
60,-90,227,1019,0,70,990,-155,48,1000,0
61,-90,237,1000,0,60,990,-145,48,1009,0
62,-90,227,1009,-9,80,990,-145,48,1009,0
63,-90,237,1009,0,60,1000,-145,48,1009,0
64,-80,237,1009,9,80,981,-145,58,1019,0
65,-80,217,1000,9,80,990,-155,48,1028,0
66,-90,217,1000,9,80,990,-145,58,1009,0
67,-80,237,1019,9,60,990,-145,48,1009,0
68,-80,237,1019,18,80,981,-155,38,1009,0
69,-90,227,1009,9,50,1000,-165,58,1009,0
70,-90,237,1019,27,70,972,-145,48,1000,0
71,-80,217,1009,9,80,981,-145,48,1009,0
72,-101,247,1019,9,60,990,-145,38,1019,0
73,-90,227,1029,9,90,990,-145,67,1019,0
74,-80,247,1019,0,70,990,-135,48,1009,0
75,-90,227,1009,9,60,990,-126,38,1028,0
76,-90,267,1009,9,70,990,-126,38,1028,0
77,-101,227,1009,0,70,1000,-116,77,1019,0
78,-90,227,1019,9,80,981,-126,58,1019,0
79,-80,227,1009,0,50,990,-116,38,1009,0
80,-80,227,1000,18,60,981,-116,67,1009,0
81,-80,237,1000,18,50,1000,-135,58,1009,0
82,-90,217,1019,9,60,990,-135,58,1009,0
83,-90,247,1009,27,30,1000,-126,29,1009,0
84,-90,247,1000,27,50,1000,-135,58,1000,0
85,-80,227,1019,9,70,1000,-116,48,1000,0
86,-80,207,1029,9,70,1000,-116,58,1019,0
87,-90,217,1019,18,60,990,-116,48,1019,0
88,-80,227,1000,18,60,990,-106,67,1028,0
89,-90,227,1000,18,70,990,-106,48,1019,0
90,-80,247,1019,27,60,990,-116,58,1009,0
91,-80,227,1009,27,50,981,-97,58,1009,0
92,-90,217,1000,18,50,990,-97,67,1019,0
93,-90,237,1019,18,70,981,-97,67,1019,0
94,-70,237,1019,27,60,981,-106,77,1019,0
95,-70,237,1019,27,50,990,-87,67,1009,0
96,-101,227,1009,36,70,981,-97,48,1019,0
97,-80,217,1019,27,40,990,-97,67,1019,0
98,-70,207,1029,45,60,1000,-87,67,1019,0
99,-80,227,1029,36,60,990,-87,19,1019,0
100,-70,227,1000,27,50,990,-106,38,1009,0
101,-80,227,1019,9,70,990,-87,67,1009,0
102,-101,227,1009,18,70,990,-116,48,1009,0
103,-60,237,1009,45,60,981,-116,58,1009,0
104,-101,247,1019,36,70,981,-106,67,990,0
105,-90,237,1019,18,60,990,-126,48,1019,0
106,-80,247,1019,27,60,990,-106,67,1009,0
107,-90,227,1029,27,60,990,-126,77,1000,0
108,-70,227,1019,27,70,1000,-135,58,1000,0
109,-70,237,1019,45,30,990,-126,38,990,0
110,-80,227,1009,45,60,990,-126,58,1009,0
111,-90,227,1019,36,40,990,-126,38,1019,0
112,-101,227,1000,27,50,972,-126,48,990,0
113,-80,217,1019,0,50,990,-135,38,1009,0
114,-90,227,1019,-18,60,981,-155,38,1028,0
115,-90,217,1029,-18,60,990,-135,48,1009,0
116,-121,227,1019,-27,70,990,-145,48,1019,0
117,-90,217,1019,0,60,990,-145,48,1019,0
118,-80,247,1009,0,40,990,-126,48,1019,0
119,-101,227,1019,0,40,981,-145,48,1019,0
120,-80,207,1029,18,50,990,-145,48,1019,0
121,-101,198,1039,18,50,990,-145,48,1019,0
122,-90,207,1019,27,60,972,-145,29,1009,0
123,-80,207,1019,9,80,990,-135,58,1000,0
124,-80,247,1009,27,50,981,-145,48,990,0
125,-80,237,1009,27,80,981,-145,48,990,0
126,-70,237,1000,18,60,990,-135,38,1000,0
127,-90,227,1009,18,90,981,-135,48,990,0
128,-90,217,1019,0,70,1000,-155,67,1000,0
129,-80,227,1019,9,70,990,-145,38,1009,0
130,-111,247,1019,9,70,990,-145,38,1019,0
131,-90,237,1019,18,60,990,-145,48,1019,0
132,-90,237,1000,9,60,972,-165,58,1000,0
133,-80,217,1019,-18,60,1000,-165,38,1000,0
134,-90,217,1029,9,30,990,-155,38,1028,0
135,-90,217,1029,18,70,981,-155,38,1028,0
136,-80,227,1009,9,50,990,-145,48,1019,0
137,-80,227,1029,18,60,990,-155,29,1009,0
138,-90,227,1029,0,60,990,-135,38,1009,0
139,-101,237,1019,9,60,1000,-126,58,1000,0
140,-70,227,1009,9,60,1000,-116,58,1009,0
141,-70,227,1009,9,60,1000,-126,38,1009,0
142,-70,267,1019,27,40,990,-135,38,1019,0
143,-90,227,1029,36,60,981,-145,38,1028,0
144,-101,227,1009,0,70,990,-135,58,1019,0
145,-101,237,1019,0,80,990,-135,48,1019,0
146,-101,237,1019,9,50,990,-135,38,1009,0
147,-101,247,1000,0,60,981,-135,48,1000,0
148,-70,198,1029,9,70,981,-126,38,1000,0
149,-60,217,1009,18,60,990,-116,38,1019,0
150,-70,227,1000,36,70,972,-97,48,1000,0
151,-70,227,1000,36,101,990,-106,29,1009,0
152,-70,237,1019,45,70,990,-116,29,1009,0
153,-90,237,1039,36,70,981,-116,29,1000,0
154,-101,217,1009,18,60,1000,-116,29,1000,0
155,-80,247,1029,18,60,990,-116,38,1019,0
156,-101,188,1019,0,60,990,-116,38,990,0
157,-101,217,1019,0,60,1000,-135,58,1019,0
158,-80,217,1009,27,60,972,-126,77,1019,0
159,-80,207,1009,0,50,990,-145,38,1009,0
160,-90,247,1009,9,60,981,-145,48,1009,0
161,-90,247,1009,9,60,972,-135,48,1009,0
162,-90,227,1019,9,50,990,-135,29,1038,0
163,-90,237,1000,18,50,981,-145,38,1019,0
164,-90,217,1029,18,50,990,-126,48,990,0
165,-90,227,1029,18,60,990,-126,48,1009,0
166,-90,217,1019,0,50,981,-135,29,1019,0
167,-90,227,1019,9,40,1000,-126,48,1000,0
168,-70,217,1019,0,60,981,-135,38,1009,0
169,-90,217,1009,9,40,990,-135,48,1019,0
170,-101,237,1009,18,50,990,-145,38,1009,0
171,-101,237,1009,18,60,981,-145,58,1000,0
172,-80,227,1009,18,40,1000,-135,29,1038,0
173,-80,227,1009,27,70,981,-135,58,1028,0
174,-80,217,1009,9,60,990,-135,38,1009,0
175,-90,207,1029,9,50,981,-135,38,1009,0
176,-90,237,1009,18,70,981,-126,38,1009,0
177,-90,227,1019,18,60,981,-135,48,1000,0
178,-90,217,1019,27,50,990,-135,48,1009,0
179,-70,217,1019,27,40,981,-135,58,1009,0
180,-70,227,1029,9,70,981,-145,48,1000,0
181,-80,227,1019,0,80,990,-135,38,1019,0
182,-80,227,1019,9,40,981,-135,38,1019,0
183,-90,217,1029,18,70,990,-126,58,1019,0
184,-80,207,1029,0,50,1000,-145,38,1019,0
185,-80,217,1000,9,50,1000,-126,38,1000,0
186,-121,217,1019,0,60,981,-126,48,1019,0
187,-80,227,1029,9,50,972,-116,48,1038,0
188,-101,207,1019,9,70,990,-116,38,1019,0
189,-80,198,1009,18,70,990,-126,48,1019,0
190,-60,217,1009,36,70,972,-116,29,1009,0
191,-80,217,1009,27,60,981,-126,29,1019,0
192,-90,217,1000,18,60,990,-145,48,990,0
193,-90,207,1029,27,60,972,-155,38,1000,0
194,-60,217,1009,18,50,1000,-126,48,1000,0
195,-80,198,1029,27,50,1000,-135,48,1000,0
196,-70,237,1029,27,60,981,-126,29,1009,0
197,-80,188,1029,18,50,1000,-126,48,1009,0
198,-90,227,1009,27,60,981,-135,29,1028,0
199,-101,207,1019,18,50,990,-135,38,1009,0
200,-80,207,1000,9,70,990,-135,29,1009,0
201,-80,207,1000,9,80,972,-135,58,1019,0
202,-90,227,1009,0,50,1000,-126,48,1000,0
203,-80,227,990,18,60,972,-135,48,1019,0
204,-80,227,1029,18,60,990,-135,38,1000,0
205,-70,227,1009,18,40,990,-145,48,1009,0
206,-70,227,1000,9,70,990,-145,38,1000,0
207,-101,217,1019,18,60,962,-135,48,1019,0
208,-101,227,1029,18,60,962,-135,48,1009,0
209,-90,237,1019,9,80,990,-126,38,1009,0
210,-90,227,1029,27,40,981,-126,38,1009,0
211,-80,237,1019,18,50,972,-116,48,1019,0
212,-80,217,1029,36,60,981,-116,48,1019,0
213,-80,207,1019,27,80,981,-116,38,1009,0
214,-90,227,1000,36,60,981,-135,58,1009,0
215,-80,217,1019,18,60,990,-145,19,1009,0
216,-80,217,1009,18,60,1000,-126,48,1000,0
217,-90,227,1019,27,60,981,-135,38,1019,0
218,-80,227,1019,9,60,990,-126,29,1019,0
219,-70,237,1000,9,70,990,-126,48,1019,0
220,-90,237,1009,9,60,990,-135,29,1028,0
221,-80,237,1009,0,50,990,-126,48,1019,0
222,-90,227,1019,18,50,990,-116,48,990,0
223,-80,207,1019,27,60,990,-135,38,1009,0
224,-80,247,1009,36,50,972,-135,48,1009,0
225,-80,227,1009,9,50,990,-116,58,1009,0
226,-90,207,1009,18,50,990,-126,48,980,0
227,-90,227,1019,18,80,981,-135,38,1009,0
228,-90,217,1019,0,60,1000,-135,48,1000,0
229,-80,237,1009,9,70,981,-135,48,1019,0
230,-90,227,1019,9,40,990,-155,38,1019,0
231,-101,227,1009,9,30,1000,-135,58,990,0
232,-101,217,1009,18,90,981,-155,48,1009,0
233,-101,227,1009,27,40,981,-135,19,1019,0
234,-70,217,1000,36,60,981,-135,38,1000,0
