Timestep,Shank_x,Shank_y,Shank_z,Thigh_x,Thigh_y,Thigh_z,Trunk_x,Trunk_y,Trunk_z,FoG
0,101,297,1000,-9,303,953,330,-145,942,0
1,101,287,1000,-27,292,944,310,-155,933,0
2,121,287,980,-27,292,935,300,-135,952,0
3,111,277,1000,-27,282,962,320,-165,961,0
4,101,306,980,-45,262,953,310,-126,933,0
5,90,287,990,-27,262,944,310,-126,952,0
6,90,306,980,-36,262,944,300,-145,961,0
7,80,306,1000,-45,242,953,291,-135,961,0
8,90,287,1000,-54,242,962,262,-126,971,0
9,90,287,1009,-36,252,962,223,-135,980,0
10,101,326,1000,-54,292,944,233,-145,1000,0
11,80,326,980,-45,303,925,203,-135,1000,0
12,101,306,1009,-54,333,944,194,-135,1000,0
13,121,287,1019,-54,313,981,203,-126,980,0
14,121,306,990,-27,292,962,194,-97,990,0
15,101,306,1009,-36,303,944,213,-155,1009,0
16,70,326,1000,-54,313,925,203,-126,1000,0
17,80,287,1000,-81,323,925,184,-106,980,0
18,90,326,1000,-127,343,935,194,-106,990,0
19,131,326,970,-145,414,907,174,-126,990,0
20,111,336,1000,-118,373,916,155,-116,1028,0
21,131,306,990,-81,373,925,174,-126,971,0
22,111,306,990,-63,343,944,165,-106,1000,0
23,121,306,980,-54,323,944,155,-126,1009,0
24,141,306,970,-54,303,944,203,-116,990,0
25,141,297,970,-81,282,962,213,-145,1019,0
26,121,277,1000,-100,282,944,213,-116,990,0
27,90,297,1000,-118,272,953,203,-106,980,0
28,111,306,1019,-136,313,962,213,-126,971,0
29,161,316,1009,-118,303,935,194,-165,1009,0
30,151,316,1009,-54,333,935,165,-174,1019,0
31,161,297,1009,-9,353,935,155,-165,1019,0
32,171,326,990,9,343,953,135,-184,1028,0
33,161,316,1009,0,393,925,145,-135,1019,0
34,181,267,1000,-27,373,953,126,-116,1000,0
35,161,326,990,-54,353,953,135,-155,1009,0
36,151,316,990,-54,353,925,184,-184,990,0
37,151,297,980,-72,333,935,116,-213,971,0
38,161,297,990,-90,333,925,116,-223,961,0
39,141,287,980,-81,282,944,116,-223,961,0
40,141,277,960,-54,282,907,126,-233,914,0
41,141,267,980,-63,272,916,126,-233,914,0
42,151,267,970,-18,242,925,106,-233,914,0
43,151,237,980,0,272,944,126,-271,914,0
44,161,267,980,-9,252,935,126,-242,942,0
45,131,247,1000,0,232,935,135,-271,952,0
46,151,227,1009,0,222,962,145,-291,971,0
47,161,227,1019,0,252,981,174,-310,971,0
48,151,257,1019,-9,252,981,165,-310,961,0
49,151,227,1009,-9,232,972,145,-300,971,0
50,151,207,1000,0,242,962,194,-291,952,0
