Timestep,Shank_x,Shank_y,Shank_z,Thigh_x,Thigh_y,Thigh_z,Trunk_x,Trunk_y,Trunk_z,FoG
0,-161,99,1029,-190,171,981,58,116,1028,0
1,-131,89,1019,-136,151,972,38,106,1000,0
2,-121,99,1019,-100,111,981,9,155,990,0
3,-111,69,1029,-81,90,981,29,126,1000,0
4,-101,59,1019,-81,90,981,0,155,990,0
5,-90,59,1039,-63,90,981,19,145,1019,0
6,-90,69,1039,-54,90,981,9,135,1019,0
7,-101,79,1029,-36,70,972,48,165,1009,0
8,-101,79,1029,-45,60,990,48,165,1009,0
9,-50,79,1068,-63,90,990,38,165,1019,0
10,-121,69,1078,-118,111,1018,48,126,990,0
11,-161,59,1029,-100,101,981,58,145,1009,0
12,-141,108,1029,-200,131,972,38,145,1047,0
13,-111,69,1029,-109,111,981,38,97,1019,0
14,-111,69,1029,-90,90,972,38,97,1019,0
15,-121,69,1039,-90,111,981,29,116,1028,0
16,-111,79,1019,-100,80,981,19,116,1028,0
17,-111,69,1019,-100,111,981,29,106,1019,0
18,-131,59,1039,-109,101,972,19,165,1000,0
19,-131,69,1029,-118,101,990,29,145,1038,0
20,-121,79,1009,-100,90,972,19,194,1000,0
21,-90,89,1029,-54,80,972,19,155,980,0
22,-50,89,1049,-72,111,990,38,135,971,0
23,-171,89,1039,-118,121,1000,38,155,990,0
24,-141,69,1039,-163,121,981,48,145,1019,0
25,-151,59,1019,-172,131,972,77,165,1000,0
26,-131,59,1019,-127,80,972,58,126,1019,0
27,-121,79,1039,-109,80,981,48,174,990,0
28,-111,69,1029,-90,101,981,48,165,1028,0
29,-80,99,1029,-81,101,972,38,116,1038,0
30,-101,79,1049,-81,111,990,9,116,1047,0
31,-101,59,1049,-109,111,990,0,126,1038,0
32,-121,69,1039,-109,90,981,-19,155,1019,0
33,-101,49,1019,-127,90,972,9,155,1000,0
34,-121,79,1019,-118,101,990,9,155,990,0
35,-121,79,1009,-109,111,972,19,106,1009,0
36,-131,79,1019,-90,90,972,19,135,1000,0
37,-121,79,1019,-100,101,962,48,135,1000,0
38,-111,79,1029,-109,111,981,48,116,1009,0
39,-111,79,1039,-118,90,990,58,165,1009,0
40,-111,79,1039,-90,101,972,48,135,1028,0
41,-101,89,1029,-90,90,981,58,155,1000,0
42,-80,79,1029,-45,70,962,58,135,980,0
43,-90,69,1019,-72,80,990,38,135,1000,0
44,-40,49,1029,-72,80,990,38,145,1000,0
45,-121,79,1039,-81,90,1000,48,135,1019,0
46,-50,29,1049,-127,111,981,29,174,1019,0
47,-151,79,1039,-127,101,1000,29,165,1019,0
48,-101,89,1029,-118,121,990,38,145,1009,0
49,-121,108,1039,-118,121,990,29,135,1009,0
50,-121,69,1029,-109,111,990,29,126,1028,0
51,-111,79,1029,-118,111,990,19,155,1019,0
52,-80,59,1029,-100,101,972,9,135,1028,0
53,-80,59,1029,-72,111,981,29,126,990,0
54,-90,79,1029,-63,111,972,29,135,1000,0
55,-80,59,1049,-127,111,972,67,165,1028,0
56,-161,49,1039,-145,121,990,87,145,1000,0
57,-121,79,1019,-136,131,981,48,145,980,0
58,-101,79,1009,-100,131,962,48,97,990,0
59,-80,59,1029,-63,80,972,48,126,1000,0
60,-70,79,1049,-54,70,990,29,155,1009,0
61,-70,79,1049,-54,80,1000,19,165,1038,0
62,-80,79,1049,-18,90,972,9,145,1047,0
63,-80,49,1029,-45,90,990,9,135,1019,0
64,-101,69,1039,-81,70,981,19,135,1019,0
65,-121,69,1019,-81,90,981,38,126,1009,0
66,-101,59,1049,-127,101,990,29,184,1009,0
67,-141,49,1049,-154,111,1000,29,135,1057,0
68,-141,79,1039,-181,141,981,38,155,1009,0
69,-141,99,1039,-163,151,972,58,126,1000,0
70,-131,79,1039,-127,101,972,58,135,1000,0
71,-101,69,1019,-109,111,972,48,165,1000,0
72,-111,69,1039,-90,101,981,38,155,1028,0
73,-90,49,1049,-81,70,990,38,145,1028,0
74,-80,59,1039,-63,90,990,48,174,1028,0
75,-101,69,1029,-54,90,972,38,135,1019,0
76,-101,69,1029,-54,80,981,48,145,1009,0
77,-111,49,1039,-90,90,990,48,155,1009,0
78,-131,59,1049,-118,111,990,48,135,1019,0
79,-121,59,1019,-127,101,990,48,135,1019,0
80,-101,69,1029,-118,90,981,48,116,1000,0
81,-141,49,1039,-118,121,981,29,106,1019,0
82,-131,69,1039,-136,121,990,29,135,1009,0
83,-131,79,1029,-118,131,962,29,135,1009,0
84,-121,69,1039,-109,111,972,19,135,1009,0
85,-121,69,1029,-109,111,962,0,145,1009,0
86,-101,69,1019,-100,111,981,19,135,990,0
87,-90,59,1029,-100,70,990,29,145,1028,0
88,-101,49,1039,-72,70,1000,29,145,1028,0
89,-101,59,1019,-100,111,981,38,116,1028,0
90,-111,79,1039,-100,111,981,38,126,1019,0
91,-121,69,1029,-81,101,972,38,165,1000,0
92,-90,39,1039,-136,101,981,38,165,1000,0
93,-141,49,1029,-127,111,981,38,135,1000,0
94,-90,59,1019,-127,80,981,77,155,1009,0
95,-90,59,1019,-109,101,972,48,135,1019,0
96,-111,59,1029,-100,121,981,38,126,1028,0
